index,January,April,July,October
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.00023854685714285717,0.09237855214285715,0.0
8,0.0,0.1817120357142857,0.3158193571428572,0.04838410985714285
9,0.0,0.47064628571428574,0.4720809285714286,0.27976564285714284
10,0.13184306,0.6187248214285715,0.561157857142857,0.4450024214285714
11,0.32337152857142865,0.6552269285714285,0.573672357142857,0.4800807642857143
12,0.33829971428571426,0.6445723571428571,0.5537854285714287,0.4484818214285714
13,0.3171826428571428,0.6116989285714286,0.577115,0.42387271428571427
14,0.2892015,0.6241312857142857,0.5883955714285715,0.4079474214285714
15,0.2844139571428571,0.631116857142857,0.5916845714285713,0.40417135714285707
16,0.2883453214285714,0.6305449999999999,0.5469354285714286,0.42179102142857133
17,0.2219597785714286,0.5931862857142859,0.5668544285714285,0.35927384999999995
18,0.056013089999999995,0.49179255,0.5015914285714286,0.1648133659285714
19,0.0,0.25150940000000005,0.4119847785714286,0.02726095528571429
20,0.0,0.03251539071428571,0.20321262857142858,0.0
21,0.0,0.0,0.02922268714285714,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
