55001,55003,-1.0
55001,55005,-1.0
55001,55007,-1.0
55001,55009,-1.0
55001,55011,-1.0
55001,55013,-1.0
55001,55015,-1.0
55001,55017,-1.0
55001,55019,-1.0
55001,55021,1.0
55001,55023,-1.0
55001,55025,-1.0
55001,55027,-1.0
55001,55029,-1.0
55001,55031,-1.0
55001,55033,-1.0
55001,55035,-1.0
55001,55037,-1.0
55001,55039,-1.0
55001,55041,-1.0
55001,55043,-1.0
55001,55045,-1.0
55001,55047,-1.0
55001,55049,-1.0
55001,55051,-1.0
55001,55053,-1.0
55001,55055,-1.0
55001,55057,1.0
55001,55059,-1.0
55001,55061,-1.0
55001,55063,-1.0
55001,55065,-1.0
55001,55067,-1.0
55001,55069,-1.0
55001,55071,-1.0
55001,55073,-1.0
55001,55075,-1.0
55001,55077,1.0
55001,55078,-1.0
55001,55079,-1.0
55001,55081,-1.0
55001,55083,-1.0
55001,55085,-1.0
55001,55087,-1.0
55001,55089,-1.0
55001,55091,-1.0
55001,55093,-1.0
55001,55095,-1.0
55001,55097,1.0
55001,55099,-1.0
55001,55101,-1.0
55001,55103,-1.0
55001,55105,-1.0
55001,55107,-1.0
55001,55109,-1.0
55001,55111,-1.0
55001,55113,-1.0
55001,55115,-1.0
55001,55117,-1.0
55001,55119,-1.0
55001,55121,-1.0
55001,55123,-1.0
55001,55125,-1.0
55001,55127,-1.0
55001,55129,-1.0
55001,55131,-1.0
55001,55133,-1.0
55001,55135,-1.0
55001,55137,1.0
55001,55139,-1.0
55001,55141,1.0
55003,55005,-1.0
55003,55007,1.0
55003,55009,-1.0
55003,55011,-1.0
55003,55013,-1.0
55003,55015,-1.0
55003,55017,-1.0
55003,55019,-1.0
55003,55021,-1.0
55003,55023,-1.0
55003,55025,-1.0
55003,55027,-1.0
55003,55029,-1.0
55003,55031,-1.0
55003,55033,-1.0
55003,55035,-1.0
55003,55037,-1.0
55003,55039,-1.0
55003,55041,-1.0
55003,55043,-1.0
55003,55045,-1.0
55003,55047,-1.0
55003,55049,-1.0
55003,55051,1.0
55003,55053,-1.0
